tourney_id,tourney_name,surface,tourney_date,winner_name,loser_name,score,round,minutes,scraping_date,draw_size,tourney_level,match_num,winner_id,winner_seed,winner_entry,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_hand,loser_ht,loser_ioc,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points,court_ace_pct,court_speed
2026-brisbane-1,brisbane,Hard,20260104,Frances Tiafoe,Aleksandar Vukic,6-2 6-2,Round of 32 ,100,2026-03-04,0,0,0,0,0,0,R,188.0,USA,28,0,0,0,R,188.0,AUS,30,0,22.0,0,89.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Rinky Hijikata,Matteo Arnaldi,,2nd Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,178.0,AUS,25,0,0,0,R,185.0,ITA,25,0,117.0,0,85.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Quentin Halys,Kamil Majchrzak,1-6 7-6 6-5,2nd Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,191.0,FRA,30,0,0,0,R,180.0,POL,30,0,102.0,0,57.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,James Duckworth,Terence Atmane,7-6 6-4,2nd Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,183.0,AUS,34,0,0,0,R,193.0,FRA,24,0,83.0,0,52.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Pablo Carreno Busta,Arthur Cazaux,5-3,2nd Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,188.0,ESP,35,0,0,0,R,183.0,FRA,24,0,107.0,0,76.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Raphael Collignon,Ethan Quinn,7-5 6-3,2nd Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,191.0,BEL,24,0,0,0,R,191.0,USA,22,0,77.0,0,73.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Dane Sweeny,Christopher O'Connell,6-7 4-3 6-4,2nd Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,170.0,AUS,25,0,0,0,R,183.0,UNK,32,0,131.0,0,127.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Matteo Arnaldi,Hugo Gaston,6-1 5-7 7-6,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,185.0,ITA,25,0,0,0,R,173.0,FRA,26,0,85.0,0,96.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Kamil Majchrzak,Cruz Hewitt,6-4 7-5,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,180.0,POL,30,0,0,0,R,185.0,UNK,25,0,57.0,0,150.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Terence Atmane,Yannick Hanfmann,6-4 7-6,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,193.0,FRA,24,0,0,0,R,193.0,GER,35,0,52.0,0,65.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Arthur Cazaux,Martin Landaluce,6-3 6-2,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,183.0,FRA,24,0,0,0,R,193.0,ESP,20,0,76.0,0,155.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Ethan Quinn,Benjamin Bonzi,4-6 6-3 6-3,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,191.0,USA,22,0,0,0,R,183.0,FRA,30,0,73.0,0,111.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Dane Sweeny,Jacob Fearnley,6-1 7-6,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,170.0,AUS,25,0,0,0,R,183.0,GBR,25,0,131.0,0,87.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Pablo Carreno Busta,Mattia Bellucci,6-4 2-6 7-6,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,188.0,ESP,35,0,0,0,R,175.0,ITA,25,0,107.0,0,94.0,0,14.9,1.2
2026-brisbane-1,brisbane,Hard,20260104,Rinky Hijikata,Filip Misolic,6-3 6-3,1st Round Qualifying ,100,2026-03-04,0,0,0,0,0,0,R,178.0,AUS,25,0,0,0,R,180.0,AUT,25,0,117.0,0,84.0,0,14.9,1.2
