player,rank,points,url_perfil
M. Jones,318,156,https://www.atptour.com/en/players/maximus-jones/j0d2/overview
G. Hussey,319,156,https://www.atptour.com/en/players/giles-hussey/h0dc/overview
R. Tokuda,320,155,https://www.atptour.com/en/players/renta-tokuda/td55/overview
T. Zink,321,155,https://www.atptour.com/en/players/tyler-zink/z0ak/overview
F. Bondioli,322,155,https://www.atptour.com/en/players/federico-bondioli/b0pe/overview
C. Stebe,323,154,https://www.atptour.com/en/players/cedrik-marcel-stebe/sk94/overview
F. Meligeni Alves,324,153,https://www.atptour.com/en/players/felipe-meligeni-alves/mw75/overview
M. Kasnikowski,325,153,https://www.atptour.com/en/players/maks-kasnikowski/k0hc/overview
J. Forejtek,326,153,https://www.atptour.com/en/players/jonas-forejtek/f0bt/overview
J. Torres,327,153,https://www.atptour.com/en/players/juan-bautista-torres/t0dm/overview
M. Kouame,328,151,https://www.atptour.com/en/players/moise-kouame/k0o4/overview
A. Santillan,329,151,https://www.atptour.com/en/players/akira-santillan/sq80/overview
M. Martineau,330,151,https://www.atptour.com/en/players/matteo-martineau/mw76/overview
M. Krumich,331,151,https://www.atptour.com/en/players/martin-krumich/k0fy/overview
