trial,hidden_layers,dropout,lr,batch_size,epochs,lambda_decay,smoothing,interaction_set,val_acc,test_acc,log_loss
84,[256],0.35,0.0005165524031011772,2048,80,0.003,0.04,upset,0.6588183998255941,0.6618716663972847,0.593115281408849
45,[256],0.2,0.0006108004830458186,2048,80,0.001,0.02,upset,0.658055373882712,0.6600129303378051,0.5936423138789433
17,"[256, 128, 64, 32]",0.30000000000000004,0.0005389617462604766,256,120,0.001,0.04,serve_return,0.657619359058208,0.6597704865039599,0.6763983438965729
68,[256],0.1,0.00032765445443141896,512,120,0.001,0.0,serve_return,0.6609984739481143,0.6579925650557621,0.5950667409343972
81,"[128, 64]",0.1,0.0006039899953968408,2048,80,0.001,0.01,context,0.6560933071724439,0.6575884919993534,0.6096646996375942
22,"[256, 128, 64, 32]",0.4,0.0011629989365903478,256,120,0.001,0.06,serve_return,0.6581643775888381,0.6551640536609019,0.7878862715005235
32,[256],0.1,0.00047442643728493186,1024,120,0.001,0.01,core,0.6611074776542403,0.6550832390496202,0.5981479515548279
5,"[128, 64]",0.2,0.0021959317857485673,2048,100,0.0001,0.0,core,0.6558752997601919,0.6541942783255212,0.9140469453975135
89,[256],0.30000000000000004,0.000402493475662316,2048,80,0.001,0.02,serve_return,0.657510355352082,0.6535477614352675,0.6252165019019517
93,[256],0.35,0.0006606559089826092,2048,80,0.003,0.05,upset,0.6618705035971223,0.6533053176014223,0.5978215861450964
28,"[512, 256]",0.4,0.0003662635083009581,512,100,0.001,0.08,serve_return,0.657074340527578,0.6529820591562955,0.9135871266285318
50,"[128, 64]",0.30000000000000004,0.000598537490832774,2048,60,0.001,0.02,upset,0.6592544146500982,0.6524971714886051,0.5970819280895645
79,"[256, 128, 64, 32]",0.5,0.00030566324675576124,2048,60,0.001,0.03,serve_return,0.658600392413342,0.6514465815419428,0.6013017297149922
71,"[256, 128, 64]",0.1,0.00047695735860610897,512,120,0.001,0.08,serve_return,0.6547852626989318,0.6491837724260546,0.7103354597103185
35,"[256, 256]",0.1,0.000575574741913621,512,120,0.001,0.01,minimal,0.6567473294091999,0.6486988847583643,0.6296722632785758
82,[256],0.35,0.0006354758252182577,2048,80,0.003,0.04,upset,0.6616524961848703,0.646759334087603,0.6046574303827393
64,[256],0.4,0.0008249153724260449,2048,80,0.003,0.02,upset,0.6607804665358622,0.6465168902537579,0.6030699287479229
